,target
1513,29.68751769
1514,43.01598995
1515,37.25219735
1516,35.56325764
1517,35.65480212
1518,15.80153295
1519,11.24500876
1520,9.63757221
1521,8.27755837
1522,6.96491611
1523,7.97391759
1524,9.2452589
1525,15.433881
1526,24.72187152
1527,36.98689387
1528,32.19772375
1529,32.65669688
1530,22.15755169
1531,21.47192686
1532,17.56459179
1533,23.58613651
1534,27.53163366
1535,34.24590548
1536,47.71672033
1537,61.67094315
1538,60.29002058
1539,68.89730525
1540,63.8716485
1541,48.34058178
1542,45.72861465
1543,63.82439345
1544,56.19648868
1545,51.40388553
1546,50.40948532
1547,52.07144758
1548,71.07404682
1549,104.05331848
1550,175.38664839
1551,145.86636949
1552,98.02120151
1553,54.86153859
1554,53.70312943
1555,47.31510434
1556,65.91641821
1557,89.53926938
1558,80.36537472
1559,104.90524458
1560,95.8646177
1561,81.04891336
1562,69.45120418
1563,55.6697629
1564,46.62307972
1565,43.10329153
1566,39.5370249
1567,33.30527239
1568,38.0688161
1569,49.44486342
1570,59.99642424
1571,57.07116263
1572,59.64379324
1573,64.67893871
1574,56.01828385
1575,49.18880456
1576,50.04422675
1577,47.46946852
1578,48.45646886
1579,43.66793041
1580,75.23390047
1581,111.6200857
1582,91.78826664
1583,87.05053122
1584,79.69224549
1585,62.86682767
1586,48.20897672
1587,38.04220512
1588,33.35631191
1589,30.50255826
1590,27.0368619
1591,33.08728055
1592,41.36112061
1593,47.20630359
1594,48.45493994
1595,54.44362334
1596,65.24534191
1597,57.98997971
1598,37.91969189
1599,53.87848474
1600,59.08917256
1601,50.30021853
1602,60.74845579
1603,74.68393868
1604,120.26102126
1605,102.76080527
1606,65.57189944
1607,58.21506385
1608,45.52006189
1609,42.58173932
1610,36.21510879
1611,34.1018222
1612,30.71749353
1613,27.71299826
1614,29.00948966
1615,31.35860918
1616,34.47542426
1617,39.40614886
1618,50.14349634
1619,47.90822905
1620,57.72043837
1621,56.19289846
1622,58.07318164
1623,53.77497232
1624,64.87593924
1625,57.25725902
1626,71.73103502
1627,88.2123205
1628,84.23754022
1629,68.96815709
1630,59.27493777
1631,49.46699708
1632,45.28751484
1633,36.14150125
1634,31.60475109
1635,28.25286318
1636,27.07329365
1637,25.91373542
1638,25.25115943
1639,26.60520597
1640,24.94606492
1641,31.02981806
1642,28.27713273
1643,36.04193151
1644,42.10140291
1645,31.96428587
1646,30.94046862
1647,26.4783867
1648,31.53714218
1649,41.20169563
1650,46.88441938
1651,49.48750404
1652,51.05471163
1653,40.46981869
1654,34.31390218
1655,27.72078984
1656,23.88398803
1657,21.50256441
1658,21.31124757
1659,20.39959667
1660,19.83131653
1661,21.89774058
1662,24.98175157
1663,29.55502647
1664,40.33845532
1665,30.14950447
